max_acc1_x,max_acc1_y,max_acc1_z,max_acc2_x,max_acc2_y,max_acc2_z,max_acc3_x,max_acc3_y,max_acc3_z,max_checksum,max_gyro1_x,max_gyro1_y,max_gyro1_z,max_gyro2_x,max_gyro2_y,max_gyro2_z,max_gyro3_x,max_gyro3_y,max_gyro3_z,mean_acc1_x,mean_acc1_y,mean_acc1_z,mean_acc2_x,mean_acc2_y,mean_acc2_z,mean_acc3_x,mean_acc3_y,mean_acc3_z,mean_checksum,mean_gyro1_x,mean_gyro1_y,mean_gyro1_z,mean_gyro2_x,mean_gyro2_y,mean_gyro2_z,mean_gyro3_x,mean_gyro3_y,mean_gyro3_z,min_acc1_x,min_acc1_y,min_acc1_z,min_acc2_x,min_acc2_y,min_acc2_z,min_acc3_x,min_acc3_y,min_acc3_z,min_checksum,min_gyro1_x,min_gyro1_y,min_gyro1_z,min_gyro2_x,min_gyro2_y,min_gyro2_z,min_gyro3_x,min_gyro3_y,min_gyro3_z,move,var_acc1_x,var_acc1_y,var_acc1_z,var_acc2_x,var_acc2_y,var_acc2_z,var_acc3_x,var_acc3_y,var_acc3_z,var_checksum,var_gyro1_x,var_gyro1_y,var_gyro1_z,var_gyro2_x,var_gyro2_y,var_gyro2_z,var_gyro3_x,var_gyro3_y,var_gyro3_z
24224,10304,28032,27227,32767,13831,-15524,2032,1984,7,1349,417,574,-13396,2176,4036,2425,2815,1963,5518.42,-6504.52,-3645.4,1990.505,-1533.25,-10399.21,-15922.68,403.74,29.78,7.0,71.16,43.03,-306.855,-15380.86,142.78,1590.2,-326.795,579.435,167.44,-17504,-32768,-32768,-30506,-29944,-32768,-16392,-492,-2436,7,-1647,-769,-997,-17580,-2536,-3108,-2621,-2368,-2484,Crab,101855941.93326634,65823988.63276382,254984894.83417085,196628887.85927138,356410711.24371856,132118407.26221105,23165.9272361809,237694.40442211053,879055.2277386935,0.0,378379.71296482417,44177.87849246231,82223.97384422111,621071.8998994975,549152.5141708544,1424270.7537688443,1547768.3346482413,1288625.5736432162,719596.9210050252
23564,12184,28032,25519,32767,14813,-15524,1804,2344,7,1616,722,574,-12672,2240,5232,2425,2864,1963,8149.68,-3665.94,-4413.18,16.38,1477.525,-5633.715,-15925.1,182.58,181.66,7.0,-31.865,91.805,-259.005,-15326.4,112.48,1658.1,-589.38,375.815,-48.095,-2228,-14808,-32768,-24489,-32768,-21436,-16416,-944,-2436,7,-1647,-411,-997,-17560,-1916,-3108,-2992,-2368,-2484,Crab,40599993.464924626,32407062.187336687,325565339.9473367,192333876.5684422,521902785.58731157,66945190.84801508,27830.502512562813,229162.75738693468,1210079.401407035,0.0,517545.6148492462,55857.906507537686,139605.91454773868,836992.6432160804,580143.688040201,1845753.5577889448,1837850.96040201,1328360.8248994974,647538.5788693466
25084,12184,28884,32767,32767,15525,-15512,1912,2616,7,2058,809,639,-12672,2240,5232,2591,2864,1388,7716.72,-4947.66,-2074.0,-3818.56,759.555,-5549.825,-15943.56,92.48,154.8,7.0,64.495,87.725,-300.93,-15261.92,44.38,1920.5,-377.755,455.32,-169.04,-3560,-18580,-32768,-32768,-32768,-21436,-16468,-1236,-2412,7,-2080,-591,-1233,-17804,-1876,-4320,-2992,-2208,-1744,Crab,55756203.700100504,38373475.98432162,379149535.3567839,254156677.92603016,578592843.5949497,107142086.36620604,35693.95618090452,335140.7533668342,1522951.3969849246,0.0,667161.9396733668,96169.23555276381,169373.75386934672,798812.7774874371,544700.5583919598,1854984.9949748744,1957238.1959547738,1175176.0679396985,512029.0436180904
25084,8300,31080,32767,32767,15525,-15304,1912,3352,7,2058,912,894,-12152,2228,4424,2688,2594,1592,6116.82,-4321.58,-2586.28,-1266.58,1028.235,-5914.49,-15936.82,60.1,256.2,7.0,94.455,-49.23,-283.21,-15280.88,-208.78,1897.44,-2.105,486.41,80.97,-4724,-18580,-32768,-32768,-32768,-21137,-16664,-1416,-2556,7,-2080,-1543,-1348,-17832,-2476,-4320,-2900,-2229,-1561,Crab,64985431.042814076,29865919.34030151,449331299.4588945,286872627.74231154,617688278.1505276,89921025.12552762,66036.63075376884,461400.51256281405,2122328.7236180906,0.0,713443.9879145728,281487.51467336685,245932.55869346735,939449.1111557789,604145.8006030151,1825600.6496482415,1735962.7979648241,1299365.0873366834,459477.9789949749
23688,8300,31080,32767,32767,12840,-15304,1404,3352,7,1687,1485,894,-12152,1992,4424,2688,2594,1592,7374.32,-4087.36,-2178.48,129.09,3413.215,-6736.915,-15939.44,128.06,400.58,7.0,-16.155,85.145,-195.59,-15312.26,-358.34,1711.52,-353.92,471.85,126.82,-4724,-16064,-32768,-29429,-32768,-19690,-16664,-1416,-2556,7,-1368,-1543,-1348,-17832,-2476,-3384,-2607,-2229,-1578,Crab,55985272.821708545,19308427.005427137,425492059.5875377,229774337.49939698,533648175.11434674,53432093.02288945,77270.19738693468,458923.0114572864,2032238.2146733669,0.0,500229.5788693467,416965.33062814065,244531.68030150753,848101.1581909547,541570.4566834171,1521706.2207035178,1602142.6669346734,1537953.8969849243,443371.3041206031
22672,4788,28532,29066,32767,11715,-15464,1468,3116,7,1702,1485,717,-13376,1472,4612,2542,2528,1814,8464.26,-4412.72,-2672.34,-116.15,-2417.98,-5824.27,-15956.44,200.2,268.3,7.0,-50.655,179.715,-213.23,-15333.0,-183.42,1799.86,-726.83,355.91,-30.565,-4924,-16064,-32768,-32768,-32768,-19690,-16620,-1216,-2532,7,-1482,-975,-1044,-17792,-2356,-924,-3446,-1929,-1578,Crab,39472462.00241206,18289547.7001005,377336871.200402,223107329.02261308,496688190.2207035,43132499.13276382,47089.17226130653,385491.73869346734,1240586.6030150754,0.0,567026.0462060301,225797.2399748744,153624.15788944723,516096.44221105526,448084.0036180905,1023569.9099497487,1414437.8001005026,1150350.1828140705,628412.3475125629
21092,6012,30388,30882,32767,11715,-15592,1468,2424,7,1702,859,568,-13376,2084,4612,2542,2286,1814,7971.28,-4048.08,-6080.54,649.1,2447.33,-3552.35,-15948.24,126.78,216.52,7.0,-13.855,24.77,-276.73,-15283.36,-105.26,2047.0,-183.065,349.28,138.72,-4924,-13400,-32768,-32768,-32768,-16629,-16444,-1216,-1888,7,-1482,-742,-1062,-17792,-2356,-444,-3446,-1333,-1394,Crab,30873996.66492462,21224918.02371859,307552163.9682412,210789358.71356785,515944923.6794975,39452275.04271357,28896.58532663317,282903.8307537688,955156.9543718594,0.0,472398.15474874375,109892.51969849247,97862.37899497489,440264.43256281404,552212.1933668341,731551.7989949749,2006196.9555527638,695569.8106532663,563297.4287437187
17804,-984,29212,21944,23027,32767,-5084,7132,12560,7,32767,16546,10222,-12488,7452,8480,19952,8339,4591,-7227.26,-10265.18,324.48,6334.41,742.8,2166.43,-15821.74,-1008.7,-1019.14,7.0,3165.63,-287.565,124.825,-15068.68,2876.78,1822.04,5267.0,-730.225,-1540.28,-30884,-32228,-5248,-23612,-24393,-32768,-25068,-28236,-11712,7,-28967,-15126,-9767,-21256,-1620,-1304,-17289,-9394,-7560,Jamesbond,148125581.680804,36946665.93728643,24150216.773467336,107714558.49437186,128939044.92462312,354459513.6433165,5935235.791356784,16681754.924623115,11379865.387336683,0.0,267979122.39507538,41714696.66912061,11106627.521984925,1818525.4448241205,5654285.619698494,2009031.877788945,154305159.80904523,11783861.80339196,15617708.242814071
-8084,-1728,3916,21944,23027,32767,-5084,7132,12560,7,32767,16546,10222,-12320,7004,5244,19952,3948,8676,-16629.7,-8487.18,-927.38,2525.975,2514.145,4030.135,-15846.42,-436.84,-695.18,7.0,5287.44,2030.74,262.88,-14938.28,2217.36,2398.48,3797.315,-861.385,-1351.4,-30884,-32228,-5528,-26082,-6049,-8367,-25056,-14860,-7148,7,-17313,-7113,-5963,-20892,-2672,-332,-19542,-6723,-7560,Jamesbond,10932902.020100502,22700522.17849246,4277274.226733669,219636854.22550252,46243953.75273869,116052704.12741204,3924444.124221105,8863343.853668341,8518721.655879397,0.0,165189050.4084422,19599417.017487437,7632599.935276383,1675153.288040201,7747837.337085427,1045638.3614070353,201397253.09123114,5788112.12741206,20364162.010050252
11080,1204,5436,11430,9331,30342,-11316,8668,6200,7,7060,6748,7522,-11488,6260,5244,11382,7820,8676,-10822.74,-8916.62,-187.06,-5957.6,-5110.84,-7987.03,-15837.16,-1039.5,-1410.56,7.0,-7768.295,-1310.795,-1542.47,-15237.0,1592.18,2316.28,-9189.395,1343.95,2692.21,-23220,-23108,-6828,-26082,-20354,-32247,-30824,-24336,-7148,7,-30156,-15528,-10797,-20892,-2672,-2280,-19542,-3333,-2968,Jamesbond,95738640.49487437,22970319.452864323,8424337.84562814,123985093.69849247,56457691.5722613,172156094.03929648,3279125.321005026,15454714.522613065,6252384.00643216,0.0,84237942.25927137,20646894.606005024,9062656.240301508,2136351.959798995,4549475.103115578,1224995.6196984923,79635109.89846735,4198007.052763819,6431229.412964825
