raffles,4988,-11476,15704,165,429,-2458,-912,5336,17720,166,538,-2353,3832,17744,-408,-571,-2797,482,2119455032
raffles,5068,-12000,15260,464,632,-2976,-568,5500,17520,37,194,-2924,4116,16168,-376,-1085,-3466,281,1365811873
raffles,4816,-11200,14076,892,1085,-3398,-364,4712,16456,-417,-263,-3555,4028,15000,36,-1333,-3923,-16,3978137055
raffles,4620,-10440,12824,1145,1650,-3808,-352,4312,15380,-335,-776,-4095,3972,14384,-360,-1682,-4275,-333,2118699660
raffles,4504,-9412,12076,791,2349,-4293,-224,3868,14788,101,-1281,-4599,3900,14328,-356,-2117,-4472,-756,3536006753
raffles,4208,-9052,11808,-52,3023,-4595,-84,4180,14252,107,-1777,-5139,4152,14324,-324,-2281,-4722,-1058,233831236
raffles,3832,-8736,12060,-1168,3496,-4759,232,4328,14488,280,-2318,-5575,4932,14424,-376,-2405,-4920,-1171,4030978303
raffles,3436,-9008,12428,-2188,3768,-4777,468,4788,14720,1072,-2912,-5786,5896,14580,-632,-2541,-4797,-1329,3989696484
raffles,3256,-8996,12812,-3291,3877,-4633,688,4944,15148,2051,-3443,-5903,6392,14868,-672,-2711,-4417,-1429,555393808
raffles,2924,-9008,13664,-4542,3739,-4299,768,5232,15456,2965,-3865,-5712,6780,14812,-688,-2793,-3885,-1440,3050051650
raffles,2752,-9168,14436,-5727,3504,-3891,612,5012,16036,3566,-3986,-5349,6972,14352,-576,-2655,-3378,-1411,3228203860
raffles,2572,-9392,15664,-6223,3144,-3329,328,4848,16340,3884,-3865,-4693,6960,14088,-404,-2360,-2747,-1376,2630692388
raffles,2320,-9512,16380,-5950,2629,-2678,-20,4636,16828,3642,-3468,-3772,7052,13780,-368,-2052,-2202,-1366,1751727664
raffles,2164,-9816,16724,-4827,2108,-2000,-36,4500,17164,2839,-2848,-2696,6684,14004,-28,-1670,-1688,-1310,3754570745
raffles,2076,-10152,16732,-3381,1523,-1190,84,4588,17308,1871,-2061,-1443,6240,14256,164,-1273,-1239,-1243,3925356666
raffles,2272,-10576,16752,-1825,976,-389,380,4592,16988,724,-1272,-326,6076,13896,264,-888,-850,-1091,624207245
raffles,2344,-10392,16420,-308,509,328,672,4716,16884,-226,-619,614,6108,13428,124,-392,-388,-953,195339597
raffles,2472,-10028,15964,725,143,942,660,4548,16556,-1016,-111,1324,6240,12900,296,155,254,-798,2953153499
raffles,2464,-9552,15236,1351,-167,1465,380,4352,15944,-1479,146,1827,6472,12856,192,711,1004,-527,1343274740
raffles,2524,-9388,14640,1769,-379,1970,316,4156,15416,-1585,269,2270,6828,12652,116,1143,1883,-300,623512276
raffles,2584,-9036,14184,2065,-449,2441,368,4324,14816,-1717,353,2657,7000,12400,76,1527,2851,-126,3855615612
raffles,2784,-8724,13840,2095,-678,2958,556,4536,14744,-1778,531,3162,7092,12656,104,1888,3874,-47,2225447717
raffles,2792,-8744,13752,1894,-950,3579,560,4760,14680,-1761,754,3784,6836,12872,-220,2137,4645,75,3164564125
raffles,2696,-9152,14084,1859,-1407,4249,472,4996,14804,-1933,1070,4500,6860,13180,-268,2420,5348,156,1305208020
raffles,2652,-9272,14396,1912,-1941,4840,408,5032,14948,-1459,1495,5327,6816,14392,-520,2558,5942,196,3009148497
raffles,2728,-9476,14900,1621,-2640,5270,320,5140,15404,-603,1979,6015,6452,15724,-768,2609,6457,364,3804371712
raffles,2848,-10404,15764,1201,-3375,5546,252,5580,16792,2,2373,6561,5896,16696,-956,2659,6935,461,1589422438
raffles,2900,-10944,16564,1021,-4027,5702,396,6076,18220,266,2573,7047,5540,17108,-1352,2699,7365,243,993926239
raffles,2768,-11512,17044,1072,-4451,5828,552,5948,18984,101,2471,7292,3964,16792,-948,2544,7593,-196,3336327684
raffles,2672,-11464,16504,1168,-4476,5935,1104,5212,19016,5,2150,7463,3628,17092,-1400,2398,7175,-625,3450817948
raffles,2504,-11500,15584,1311,-4166,6156,1316,4532,18612,-367,1695,7497,2940,16688,-872,2130,6532,-1101,3996499939
raffles,2316,-11412,14580,1619,-3450,6192,1316,3780,17564,-1135,1232,7287,2636,16224,-800,1674,5630,-1512,3738010677
raffles,2408,-10744,13628,2146,-2545,6125,1008,2896,16532,-1478,679,6862,2560,15912,-628,1091,4619,-1655,3355628460
raffles,2668,-9704,13124,2284,-1631,5793,884,2680,15464,-1207,252,6185,2864,15692,-516,506,3541,-1439,1447609495
raffles,3204,-9168,13068,1713,-926,5400,340,3088,15012,-855,-144,5319,3140,15068,-768,159,2720,-1087,3809102443
raffles,3980,-9216,13152,740,-430,4786,-408,3504,15108,-365,-432,4487,3656,14556,-712,-20,2363,-773,3003626919
raffles,4488,-9268,13652,-218,-250,4127,-1176,4092,15096,131,-669,3641,3856,14504,-992,-126,2280,-506,1233691037
raffles,5080,-9236,14088,-1138,-346,3514,-1760,4648,15164,774,-843,2855,4136,14540,-1048,-174,2328,-287,4051375370
raffles,5508,-9336,14388,-1667,-476,2850,-2124,4828,15244,1396,-924,2251,4200,14652,-1016,-221,2381,-72,1622231896
raffles,5496,-9276,14688,-1949,-717,2265,-2208,4764,15000,1655,-744,1922,4380,14436,-696,-243,2545,-3,167851808
raffles,5132,-9204,14592,-2041,-1043,1895,-2024,4884,15156,1517,-344,1807,4524,14188,-384,-179,2662,14,3225221666
raffles,4732,-9428,15008,-1946,-1402,1612,-1440,4544,15288,1497,163,1943,4628,13904,-200,-55,2681,115,1653223755
raffles,3936,-9756,14928,-1422,-1853,1558,-1036,4404,15708,1405,678,2175,4832,13912,-36,61,2632,247,64581135
raffles,3524,-10028,15176,-668,-2125,1512,-520,4124,15932,907,1154,2270,5100,13772,40,294,2676,347,3517837897
raffles,3104,-9884,15364,9,-2281,1570,-52,4192,16204,402,1442,2305,5368,13756,52,538,2829,437,3596327529
raffles,2936,-9664,15232,437,-2358,1653,116,4056,16544,122,1588,2345,5596,13520,100,818,3062,430,2311670254
raffles,2996,-9808,15076,793,-2191,1821,220,4120,16684,-263,1530,2443,5656,13428,224,1139,3422,448,100390747
raffles,3080,-9816,14932,1238,-1931,2077,468,4192,16564,-813,1424,2587,5612,13384,84,1483,3704,402,2315458074
raffles,3016,-9604,14700,1603,-1671,2444,564,4444,16352,-1176,1285,2851,5588,13744,-228,1764,4027,285,2287451630
raffles,2828,-9556,14540,1736,-1490,2857,888,4604,16576,-1476,1138,3213,5468,14040,-188,2023,4340,142,2985269508
raffles,2644,-9584,14612,1697,-1315,3288,908,4724,16640,-1725,987,3643,5312,14008,-156,2252,4665,15,3555194154
raffles,2336,-9820,14824,1849,-1342,3823,976,4328,16508,-1939,920,4053,5236,14328,-296,2509,4801,-21,727467567
raffles,2072,-9564,15396,1802,-1471,4274,1156,4284,16540,-1714,986,4504,5272,15124,-1060,2657,4771,-51,3701651110
raffles,1976,-10280,15528,1600,-1593,4615,876,4864,17048,-1746,1144,4844,5272,15696,-1096,2712,4784,-172,531010399
raffles,2200,-10868,15368,1872,-1824,4744,900,4972,17204,-1605,1163,5095,4752,16420,-1260,2560,4805,-421,3130592735
raffles,2572,-10712,15676,1918,-2024,4935,756,4876,17152,-1382,1193,5300,4104,16816,-1308,2334,4825,-650,3782674602
raffles,3044,-10512,15432,1817,-2128,4906,624,4728,17196,-1316,1058,5366,3520,16540,-1176,2006,4550,-771,156020296
raffles,3220,-10444,14704,1677,-2016,4853,500,4584,16752,-1257,848,5316,3376,15924,-1248,1608,4191,-915,785548023
raffles,3480,-10328,13996,1659,-1770,4616,180,4328,16060,-1159,572,5093,3136,15688,-1136,1170,3814,-1146,509750210
raffles,3608,-10052,13348,1523,-1390,4222,232,3936,15560,-810,238,4670,2768,15804,-968,676,3371,-1300,1819610373
raffles,3624,-9652,13132,1088,-1000,3787,168,3816,15144,-438,-27,4079,2764,15796,-904,280,2792,-1348,2125310837
raffles,3844,-9368,13288,365,-675,3347,64,3660,15236,12,-366,3406,3236,15432,-912,-29,2314,-1298,3709482525
raffles,3836,-9208,13660,-717,-394,2867,-44,3772,15488,579,-734,2672,3584,15004,-624,-255,1903,-1113,499768466
raffles,3752,-9448,13996,-1545,-162,2360,-392,4008,15768,1122,-1068,1996,3928,15084,-748,-428,1711,-944,3962454987
raffles,3916,-9752,14212,-2165,-39,1939,-320,4256,15916,1579,-1319,1481,4168,15448,-620,-587,1654,-818,3633553011
raffles,4028,-9916,14776,-2522,65,1565,-364,4476,16348,1798,-1428,1096,4168,15196,-408,-634,1700,-796,614072737
raffles,4012,-10052,15304,-2752,101,1317,-244,4628,16784,1719,-1394,933,3896,14852,-404,-583,1739,-820,1697543230
raffles,3736,-10420,15560,-2433,66,1233,-144,4588,17012,1268,-1284,948,3800,14276,-152,-324,1657,-863,2972343112
raffles,3408,-10564,15728,-1635,60,1275,-12,4452,16956,673,-1030,1093,3600,14260,32,-27,1438,-885,1532719701
raffles,2852,-10504,15620,-717,22,1305,296,4268,16952,119,-712,1290,3540,14116,32,317,1175,-861,2553781419
raffles,2600,-10464,15312,-68,45,1362,656,3904,16516,-466,-425,1403,3408,14032,24,589,911,-784,2557072904
raffles,2548,-10384,15016,527,40,1388,728,3760,16240,-976,-171,1363,3384,13812,-68,810,664,-709,1948319872
raffles,2652,-10084,14884,1104,102,1371,656,3604,15968,-1253,-24,1239,3420,13768,-120,1053,405,-598,2681909765
raffles,2832,-9772,14320,1405,189,1260,344,3492,15676,-1403,86,1013,3428,13824,-384,1187,124,-409,3807635859
raffles,3140,-9604,14340,1454,343,1054,16,3584,15564,-1441,109,742,3432,13952,-508,1278,-126,-145,2232468496
raffles,3348,-9484,14228,1505,504,770,-212,3824,15332,-1429,192,488,3456,14280,-792,1300,-272,60,1473518483
raffles,3632,-9504,14228,1459,464,525,-356,3944,15260,-1290,274,175,3812,14400,-856,1223,-311,215,2218154788
raffles,3828,-9364,14188,1408,352,245,-532,3984,15264,-1111,365,-72,4084,14456,-1104,1116,-204,320,3000212443
raffles,4040,-9156,14044,1293,217,-58,-588,4272,15192,-1014,471,-288,4196,14680,-1320,1006,22,427,1933719879
raffles,3912,-9116,14352,1084,78,-336,-488,3928,15420,-648,491,-407,4296,15012,-1328,818,204,515,3973557818
raffles,3556,-9252,14440,803,40,-535,-80,4124,15736,-540,481,-509,4168,15420,-1440,555,301,543,110238330
raffles,3104,-9504,14748,611,27,-671,364,4280,16276,-557,477,-506,4020,15956,-1544,314,260,501,1091128466
raffles,2648,-9908,15008,334,-33,-665,700,4384,16612,-317,456,-481,3872,16484,-1456,27,-37,486,3010834543
raffles,2408,-10532,15128,85,-151,-734,1200,4196,16940,442,398,-517,3484,18004,-1548,-460,-607,505,3121479502
raffles,2624,-11076,15576,-495,-175,-984,1120,4872,17500,1478,411,-693,3140,19420,-1268,-1081,-1252,457,1151234381
raffles,2836,-12408,15872,-1211,-237,-1560,1100,5840,18472,2248,366,-1017,2180,20320,-1420,-1921,-2022,413,3289680980
raffles,3400,-13412,16100,-1717,-204,-2136,864,6576,19076,2561,91,-1549,1168,19804,-1300,-2762,-2703,319,1836264559
raffles,3952,-12852,15568,-1694,-165,-2731,452,6060,18124,2374,-297,-2268,956,17480,-676,-3671,-3566,-40,3037070017
raffles,4256,-11576,14360,-1205,154,-3430,48,4300,16412,2506,-853,-3127,756,15652,-48,-4259,-4667,-268,2723242718
raffles,4220,-9864,12696,-1332,720,-4289,-60,2996,14972,2997,-1327,-4123,1236,14660,76,-4662,-5757,-257,146732409
raffles,4280,-8820,11828,-2077,1513,-5075,-40,2608,14008,3284,-1707,-5175,1912,13960,384,-4633,-6790,-88,1755068334
raffles,4184,-8836,11992,-3170,2351,-5717,-100,3104,14032,3041,-1971,-6213,3876,13700,268,-4427,-7118,104,2785467636
raffles,4352,-9580,12616,-4043,3073,-6169,-160,3944,15040,2988,-2369,-7153,4816,13472,92,-4229,-6971,264,4156379187
raffles,4288,-10308,13680,-4356,3583,-6551,-304,4940,16012,3076,-2795,-7843,5468,13656,56,-3993,-6492,452,1865788241
raffles,4096,-10348,14808,-4630,3733,-6702,-360,5548,16752,3092,-3070,-8296,6020,13644,104,-3656,-5801,614,3872152343
raffles,3812,-10416,15532,-5194,3595,-6673,-256,5972,16632,3089,-3074,-8290,6468,13856,156,-3424,-5054,645,1293473526
raffles,3540,-11132,15740,-5025,3267,-6509,-236,6508,16520,2871,-2838,-7801,5916,13956,704,-3065,-4516,622,1773370613
raffles,3040,-11524,15520,-3922,2775,-5986,132,6436,16168,2456,-2266,-6867,5500,13848,960,-2733,-4168,561,3031901141
raffles,2588,-11168,15288,-2526,2126,-5271,468,6264,15796,1813,-1412,-5634,5324,13504,1056,-2306,-3873,392,1633351661
raffles,2416,-10792,15244,-1365,1434,-4560,952,5732,15572,1247,-504,-4417,5016,13028,1160,-1845,-3658,257,649682687
raffles,2120,-10332,14940,-540,799,-3879,1068,5304,15552,677,231,-3405,4824,12916,1272,-1343,-3668,191,1247044350
raffles,2052,-10380,14868,212,431,-3352,1280,4924,15664,187,685,-2749,4840,12852,1136,-893,-3758,182,2025412495
raffles,1956,-10528,14388,837,290,-2948,1328,4676,15664,-167,898,-2385,4496,13368,1028,-478,-3841,254,1520212180
raffles,2300,-10392,14184,1188,303,-2656,1276,4684,15916,-386,905,-2327,4348,13732,896,-180,-3830,307,2131475944
raffles,2860,-10380,13956,1317,487,-2580,1004,4552,15980,-360,788,-2523,4400,13992,876,96,-3831,417,2676506372
raffles,3328,-10584,14068,1176,874,-2576,604,4696,16064,-441,500,-2832,4640,14148,660,256,-3786,567,2409860679
raffles,3768,-10692,13804,1168,1243,-2668,264,5044,16288,-746,231,-3163,4544,14372,508,361,-3773,716,438819233
raffles,3920,-10592,13944,1179,1538,-2720,36,5104,16032,-978,-19,-3440,4488,14460,436,397,-3737,858,2836907934
raffles,4056,-10368,14148,1251,1802,-2835,-156,4996,15776,-1100,-79,-3590,4316,14656,436,434,-3720,934,1818389232
raffles,4064,-10100,14284,1141,1824,-2922,-484,5248,15748,-1038,36,-3621,4288,14936,520,456,-3682,996,1111478024
raffles,4216,-10496,14664,1034,1737,-3033,-532,5332,16100,-991,210,-3653,4648,14904,504,476,-3791,1079,3411162458
raffles,4172,-10728,14724,1269,1605,-3109,-656,5452,16132,-954,391,-3588,4772,15600,264,497,-3912,1057,1270646681
raffles,4400,-10780,15080,1318,1403,-3275,-700,5836,16808,-640,622,-3547,4768,15928,16,448,-3883,937,1598900298
raffles,4372,-11156,15696,1029,1198,-3419,-652,5952,17228,-502,672,-3625,4460,16684,-276,383,-3887,777,3221831651
raffles,4408,-11456,16060,826,1065,-3714,-392,5948,17704,-202,542,-3865,4168,17240,-268,92,-4150,760,1409277746
raffles,4112,-11768,15700,684,1082,-4125,-164,6088,17672,-275,304,-4198,3904,17092,-240,-287,-4616,630,2413194792
